feature,importance
power (w),0.4095708197143001
plasma time,0.08388004005287576
voltage (kV),0.05779510759465677
power (w)^2,0.01747626517630102
power (w) plasma time,0.26888775970451434
power (w) voltage (kV),0.19067391005994275
plasma time^2,0.04576727254030184
plasma time voltage (kV),0.026586010702262408
voltage (kV)^2,0.017163298732155975
base germination rate,0.021010795652209945
base germination index,0.013421904707361099
